"time","lat","long","element","taxa"
-21500,42.03677,-95.32418,"dentary","woollymammoth"
-21500,42.03677,-95.32418,"dentary","woollymammoth"
-44500,42.43015,-95.98326,"bone/tooth","woollymammoth"
-44500,42.43015,-95.98326,"dentary","woollymammoth"
-26500,42.31662,-95.98326,"bone/tooth","americanmastodon"
-16500,41.95029,-95.67228,"bone/tooth","woollymammoth"
-15500,42.07068,-93.63043,"bone/tooth","woollymammoth"
-13000,41.72956,-93.57468,"tooth, molar","americanmastodon"
-16000,43.0267,-88.7614,"tooth","woollymammoth"
-13000,42.55308,-87.89063,"bone","americanmastodon"
-15000,42.63363,-88.05147,"skeleton","woollymammoth"
-14500,41.70757,-85.55972,"tusk","woollymammoth"
-14000,43.22835,-85.98783,"skeleton","americanmastodon"
-13000,43.07833,-89.10579,"bone","americanmastodon"
-13500,42.65461,-87.91536,"tooth","americanmastodon"
-13000,42.9935,-82.40806,"tooth","americanmastodon"
-14500,42.64264,-87.99742,"skeleton","woollymammoth"
-22000,41.86334,-95.78944,"bone","americanmastodon"
-22000,41.86334,-95.78944,"tooth, third molar","woollymammoth"
-13000,43.07917,-89.06806,"bone","americanmastodon"
-13000,43.07917,-89.06806,"bone","americanmastodon"
